RecID;MStamp;MStation;IDDocument;IDThema;Commentaar
-1002340;2011-06-29;1;-1000097;-1000141;
-1002339;2011-06-29;1;-1000097;-1000267;
-1002338;2011-06-29;1;-1000097;-1000268;
-1002337;2011-06-29;1;-1000352;-1000141;
-1002336;2011-06-29;1;-1000352;-1000267;
-1002335;2011-06-29;1;-1000352;-1000268;
-1002334;2011-06-29;1;-1002917;-1000001;
-1002333;2011-06-29;1;-1002917;-1000126;
-1002332;2011-06-29;1;-1002917;-1000141;
-1002331;2011-06-29;1;-1002917;-1000267;
-1002330;2011-06-29;1;-1002917;-1000268;
-1002329;2011-06-29;1;-1004202;-1000001;
-1002328;2011-06-29;1;-1004202;-1000126;
-1002327;2011-06-29;1;-1004202;-1000141;
-1002326;2011-06-29;1;-1004202;-1000267;
-1002325;2011-06-29;1;-1004202;-1000268;
-1002324;2011-06-29;1;-1006141;-1000001;
-1002323;2011-06-29;1;-1006141;-1000126;
-1002322;2011-06-29;1;-1006141;-1000141;
-1002321;2011-06-29;1;-1006141;-1000267;
-1002320;2011-06-29;1;-1006141;-1000268;
-1002319;2011-06-29;1;-1000609;-1000001;
-1002318;2011-06-29;1;-1000609;-1000126;
-1002317;2011-06-29;1;-1000609;-1000141;
-1002316;2011-06-29;1;-1000609;-1000267;
-1002315;2011-06-29;1;-1000609;-1000268;
-1002314;2011-06-29;1;-1000108;-1000001;
-1002313;2011-06-29;1;-1000108;-1000126;
-1002312;2011-06-29;1;-1000108;-1000141;
-1002311;2011-06-29;1;-1000108;-1000267;
-1002310;2011-06-29;1;-1000108;-1000268;
-1002309;2011-06-29;1;-1002334;-1000267;
-1002308;2011-06-29;1;-1002334;-1000268;
-1002307;2011-06-29;1;-1002332;-1000001;
-1002306;2011-06-29;1;-1002332;-1000126;
-1002305;2011-06-29;1;-1002332;-1000141;
-1002304;2011-06-29;1;-1002332;-1000267;
-1002303;2011-06-29;1;-1002332;-1000268;
-1002302;2011-06-29;1;-1002330;-1000001;
-1002301;2011-06-29;1;-1002330;-1000126;
-1002300;2011-06-29;1;-1002330;-1000141;
-1002299;2011-06-29;1;-1002330;-1000267;
-1002298;2011-06-29;1;-1002330;-1000268;
-1002297;2011-06-29;1;-1007872;-1000001;
-1002296;2011-06-29;1;-1007872;-1000126;
-1002295;2011-06-29;1;-1007872;-1000141;
-1002294;2011-06-29;1;-1007872;-1000261;
-1002293;2011-06-29;1;-1007872;-1000264;
-1002292;2011-06-29;1;-1005378;-1000001;
-1002291;2011-06-29;1;-1005378;-1000126;
-1002290;2011-06-29;1;-1005378;-1000141;
-1002289;2011-06-29;1;-1005378;-1000261;
-1002288;2011-06-29;1;-1005378;-1000264;
-1002287;2011-06-29;1;-1000213;-1000001;
-1002286;2011-06-29;1;-1000213;-1000126;
-1002285;2011-06-29;1;-1000213;-1000141;
-1002284;2011-06-29;1;-1000213;-1000261;
-1002283;2011-06-29;1;-1000213;-1000264;
-1002282;2011-06-29;1;-1002334;-1000001;
-1002281;2011-06-29;1;-1002334;-1000126;
-1002280;2011-06-29;1;-1002334;-1000141;
-1002279;2011-06-29;1;-1002334;-1000261;
-1002278;2011-06-29;1;-1002334;-1000264;
-1002277;2011-06-29;1;-1000212;-1000001;
-1002276;2011-06-29;1;-1000212;-1000126;
-1002275;2011-06-29;1;-1000212;-1000141;
-1002274;2011-06-29;1;-1000212;-1000261;
-1002273;2011-06-29;1;-1000212;-1000264;
-1002272;2011-06-29;1;-1000211;-1000001;
-1002271;2011-06-29;1;-1000211;-1000126;
-1002270;2011-06-29;1;-1000211;-1000141;
-1002269;2011-06-29;1;-1000211;-1000261;
-1002268;2011-06-29;1;-1000211;-1000264;
-1002267;2011-06-29;1;-1000185;-1000001;
-1002266;2011-06-29;1;-1000185;-1000126;
-1002265;2011-06-29;1;-1000185;-1000141;
-1002264;2011-06-29;1;-1000185;-1000261;
-1002263;2011-06-29;1;-1000185;-1000264;
-1002262;2011-06-29;1;-1016226;-1000001;
-1002261;2011-06-29;1;-1016226;-1000126;
-1002260;2011-06-29;1;-1016226;-1000141;
-1002259;2011-06-29;1;-1016226;-1000261;
-1002258;2011-06-29;1;-1016226;-1000264;
-1002257;2011-06-29;1;-1016058;-1000001;
-1002256;2011-06-29;1;-1016058;-1000126;
-1002255;2011-06-29;1;-1016058;-1000141;
-1002254;2011-06-29;1;-1016058;-1000261;
-1002253;2011-06-29;1;-1016058;-1000264;
-1002252;2011-06-29;1;-1015351;-1000001;
-1002251;2011-06-29;1;-1015351;-1000126;
-1002250;2011-06-29;1;-1015351;-1000141;
-1002249;2011-06-29;1;-1015351;-1000261;
-1002248;2011-06-29;1;-1015351;-1000264;
-1002247;2011-06-29;1;-1006365;-1000001;
-1002246;2011-06-29;1;-1006365;-1000126;
-1002245;2011-06-29;1;-1006365;-1000141;
-1002244;2011-06-29;1;-1006365;-1000261;
-1002243;2011-06-29;1;-1006365;-1000264;
-1002242;2011-06-29;1;-1006128;-1000001;
-1002241;2011-06-29;1;-1006128;-1000126;
-1002240;2011-06-29;1;-1006128;-1000141;
-1002239;2011-06-29;1;-1006128;-1000261;
-1002238;2011-06-29;1;-1006128;-1000264;
-1002237;2011-06-29;1;-1019277;-1000001;
-1002236;2011-06-29;1;-1019277;-1000126;
-1002235;2011-06-29;1;-1019277;-1000141;
-1002234;2011-06-29;1;-1019277;-1000261;
-1002233;2011-06-29;1;-1019277;-1000264;
-1002232;2011-06-29;1;-1019246;-1000001;
-1002231;2011-06-29;1;-1019246;-1000126;
-1002230;2011-06-29;1;-1019246;-1000141;
-1002229;2011-06-29;1;-1019246;-1000261;
-1002228;2011-06-29;1;-1019246;-1000264;
-1002227;2011-06-29;1;-1019222;-1000001;
-1002226;2011-06-29;1;-1019222;-1000126;
-1002225;2011-06-29;1;-1019222;-1000141;
-1002224;2011-06-29;1;-1019222;-1000261;
-1002223;2011-06-29;1;-1019222;-1000264;
-1002222;2011-06-29;1;-1006521;-1000001;
-1002221;2011-06-29;1;-1006521;-1000126;
-1002220;2011-06-29;1;-1006521;-1000141;
-1002219;2011-06-29;1;-1006521;-1000261;
-1002218;2011-06-29;1;-1006521;-1000264;
-1002217;2011-06-29;1;-1003570;-1000001;
-1002216;2011-06-29;1;-1003570;-1000126;
-1002215;2011-06-29;1;-1003570;-1000141;
-1002214;2011-06-29;1;-1003570;-1000261;
-1002213;2011-06-29;1;-1003570;-1000264;
-1002212;2011-06-29;1;-1005210;-1000001;
-1002211;2011-06-29;1;-1005210;-1000126;
-1002210;2011-06-29;1;-1005210;-1000141;
-1002209;2011-06-29;1;-1005210;-1000261;
-1002208;2011-06-29;1;-1005210;-1000264;
-1002207;2011-06-29;1;-1008629;-1000001;
-1002206;2011-06-29;1;-1008629;-1000126;
-1002205;2011-06-29;1;-1008629;-1000141;
-1002204;2011-06-29;1;-1008629;-1000261;
-1002203;2011-06-29;1;-1008629;-1000264;
-1002202;2011-06-29;1;-1002976;-1000001;
-1002201;2011-06-29;1;-1002976;-1000126;
-1002200;2011-06-29;1;-1002976;-1000141;
-1002199;2011-06-29;1;-1002976;-1000261;
-1002198;2011-06-29;1;-1002976;-1000264;
-1002197;2011-06-29;1;-1000188;-1000001;
-1002196;2011-06-29;1;-1000188;-1000126;
-1002195;2011-06-29;1;-1000188;-1000141;
-1002194;2011-06-29;1;-1000188;-1000261;
-1002193;2011-06-29;1;-1000188;-1000264;
-1002192;2011-06-29;1;-1006347;-1000001;
-1002191;2011-06-29;1;-1006347;-1000126;
-1002190;2011-06-29;1;-1006347;-1000141;
-1002189;2011-06-29;1;-1006347;-1000261;
-1002188;2011-06-29;1;-1006347;-1000264;
-1002187;2011-06-29;1;-1008447;-1000001;
-1002186;2011-06-29;1;-1008447;-1000126;
-1002185;2011-06-29;1;-1008447;-1000141;
-1002184;2011-06-29;1;-1008447;-1000261;
-1002183;2011-06-29;1;-1008447;-1000263;
-1002182;2011-06-29;1;-1000214;-1000001;
-1002181;2011-06-29;1;-1000214;-1000126;
-1002180;2011-06-29;1;-1000214;-1000141;
-1002179;2011-06-29;1;-1000214;-1000261;
-1002178;2011-06-29;1;-1000214;-1000263;
-1002177;2011-06-29;1;-1000357;-1000001;
-1002176;2011-06-29;1;-1000357;-1000126;
-1002175;2011-06-29;1;-1000357;-1000141;
-1002174;2011-06-29;1;-1000357;-1000261;
-1002173;2011-06-29;1;-1000357;-1000263;
-1002172;2011-06-29;1;-1020146;-1000001;
-1002171;2011-06-29;1;-1020146;-1000126;
-1002170;2011-06-29;1;-1020146;-1000141;
-1002169;2011-06-29;1;-1020146;-1000261;
-1002168;2011-06-29;1;-1020146;-1000263;
-1002167;2011-06-29;1;-1019891;-1000001;
-1002166;2011-06-29;1;-1019891;-1000126;
-1002165;2011-06-29;1;-1019891;-1000141;
-1002164;2011-06-29;1;-1019891;-1000261;
-1002163;2011-06-29;1;-1019891;-1000262;
-1002162;2011-06-29;1;-1017380;-1000001;
