RecID;MStamp;MStation;IDDocumentActief;IDDocumentPassief;RelatieType
1018225;2010-01-29;1;1018738;1001607;2
1018226;2010-01-29;1;1018738;1016940;2
1018227;2010-01-29;1;1018738;1001610;2
1018228;2010-01-29;1;1018738;1017382;2
1018229;2010-02-01;1;1006358;1000242;2
1018231;2010-02-01;1;1004736;1018745;2
1018232;2010-02-01;1;1004736;1018746;0
1018233;2010-02-02;1;1018748;1018747;1
1018234;2010-02-03;1;1018749;1003794;1
1018235;2010-02-03;1;1018749;1004781;1
1018236;2010-02-04;1;1018751;1015637;2
1018241;2010-02-05;1;1018752;1015853;0
1018242;2010-02-05;1;1018752;1014066;1
1018243;2010-02-08;1;1018754;1014335;2
1018244;2010-02-08;1;1018753;1002079;2
1018245;2010-02-08;1;1018753;1000708;2
1018246;2010-02-08;1;1014422;1015801;0
1018247;2010-02-08;1;1018753;1015262;2
1018248;2010-02-08;1;1018753;1016566;2
1018249;2010-02-08;1;1018753;1005697;2
1018250;2010-02-08;1;1018753;1010112;2
1018251;2010-02-08;1;1018753;1017293;2
1018252;2010-02-08;1;1018753;1017504;2
1018253;2010-02-09;1;1018756;1017941;1
1018254;2010-02-09;1;1015842;1018755;2
1018255;2010-02-09;1;1018758;1018755;2
1018256;2010-02-09;1;1018759;1018755;2
1018257;2010-02-09;1;1018757;1017788;2
1018258;2010-02-11;1;1018760;1015402;2
1018259;2010-02-12;1;1018762;1014389;2
1018260;2010-02-12;1;1018763;1011798;1
1018261;2010-02-12;1;1018763;1018275;0
1018262;2010-02-15;1;1012808;1007397;0
1018263;2010-02-15;1;1007722;1007723;2
1018264;2010-02-15;1;1018764;1018609;1
1018265;2010-02-15;1;1018767;1018768;1
1018266;2010-02-15;1;1018765;1018609;1
1018267;2010-02-15;1;1018766;1014563;2
1018269;2010-02-19;1;1018771;1013380;1
1018270;2010-02-19;1;1018772;1017895;2
1018271;2010-02-22;1;1005513;1001304;2
1018272;2010-02-22;1;1018775;1014408;2
1018273;2010-02-22;1;1006968;1006966;2
1018274;2010-02-22;1;1006968;1001626;2
1018275;2010-02-22;1;1003233;1001626;2
1018276;2010-02-23;1;1018782;1000016;2
1018277;2010-02-23;1;1018782;1003794;2
1018278;2010-02-23;1;1018781;1000684;2
1018279;2010-02-23;1;1018781;1015716;2
1018280;2010-02-23;1;1018781;1016817;2
1018281;2010-02-24;1;1018782;1018489;2
1018282;2010-02-25;1;1018786;1018788;0
1018283;2010-02-26;1;1014416;1018787;2
1018284;2010-03-01;1;1018791;1018221;2
1018285;2010-03-01;1;1018792;1018785;1
1018286;2010-03-01;1;1018785;1018792;2
1018287;2010-03-01;1;1014415;1018792;2
1018288;2010-03-01;1;1018793;1018785;2
1018289;2010-03-01;1;1018793;1018792;2
1018290;2010-03-01;1;1014415;1018785;2
1018291;2010-03-01;1;1014415;1018691;2
1018292;2010-03-01;1;1018794;1018792;2
1018293;2010-03-01;1;1018794;1018785;2
1018294;2010-03-01;1;1018789;1004736;2
1018295;2010-03-02;1;1018795;1007272;2
1018296;2010-03-02;1;1018796;1011514;1
1018297;2010-03-02;1;1018796;1016862;1
1018298;2010-03-02;1;1018796;1018626;1
1018299;2010-03-02;1;1018797;1016401;2
1018300;2010-03-04;1;1018799;1001219;2
1018301;2010-03-05;1;1018801;1017550;1
1018302;2010-03-05;1;1018801;1018113;0
1018304;2010-03-09;1;1016090;1009135;2
1018305;2010-03-09;1;1003068;1012822;2
1018306;2010-03-09;1;1000710;1012822;2
1018307;2010-03-09;1;1012822;1000710;1
1018309;2010-03-09;1;1018806;1003383;2
1018310;2010-03-09;1;1011318;1003383;2
1018311;2010-03-09;1;1005077;1003383;2
1018313;2010-03-09;1;1018802;1014091;1
1018314;2010-03-09;1;1018803;1014539;2
1018315;2010-03-09;1;1003383;1008529;1
1018316;2010-03-09;1;1018807;1008406;2
1018317;2010-03-09;1;1018808;1008406;2
1018318;2010-03-09;1;1018809;1008406;2
1018319;2010-03-09;1;1018810;1008406;2
1018320;2010-03-09;1;1018811;1008406;2
1018321;2010-03-09;1;1018812;1008406;2
1018322;2010-03-09;1;1018813;1008406;2
1018323;2010-03-09;1;1018814;1008406;2
1018324;2010-03-09;1;1018815;1008406;2
1018325;2010-03-09;1;1018816;1008406;2
1018326;2010-03-09;1;1018817;1008406;2
1018328;2010-03-10;1;1018823;1008406;2
1018329;2010-03-10;1;1018824;1008406;2
1018330;2010-03-10;1;1018825;1008406;2
