RecID;MStamp;MStation;IDArtHistActief;IdArtHistPassief;RelatieType
1000431;2006-07-18;1;1067709;1067753;2
1000432;2006-07-18;1;1067709;1067755;2
1000433;2006-07-18;1;1067710;1067756;2
1000434;2006-07-18;1;1067710;1067758;2
1000435;2006-07-18;1;1067711;1067760;2
1000436;2006-07-18;1;1067712;1067762;2
1000437;2006-07-18;1;1067712;1067764;2
1000438;2006-07-18;1;1067713;1067765;2
1000439;2006-07-18;1;1067714;1067766;2
1000440;2006-07-18;1;1067715;1067767;2
1000441;2006-07-18;1;1067716;1067770;2
1000442;2006-07-18;1;1067718;1067774;2
1000443;2006-07-18;1;1067720;1067775;2
1000444;2006-07-18;1;1067721;1067776;2
1000445;2006-07-18;1;1067722;1067776;2
1000446;2006-07-18;1;1067723;1067777;8
1000454;2006-07-19;1;1046075;1051298;1
1000455;2006-07-19;1;1046075;1067797;1
1000458;2006-07-19;1;1067795;1067799;2
1000459;2006-07-19;1;1067795;1067800;2
1000460;2006-07-19;1;1067795;1067801;2
1000461;2006-07-19;1;1067795;1067802;2
1000462;2006-07-19;1;1067795;1067803;2
1000463;2006-07-19;1;1067795;1067804;2
1000465;2006-07-19;1;1067795;1067805;2
1000466;2006-07-19;1;1067795;1067806;2
1000467;2006-07-19;1;1067795;1067808;2
1000468;2006-07-24;1;1067905;1067949;2
1000469;2006-07-24;1;1067906;1067950;2
1000470;2006-07-25;1;1067912;1067953;2
1000471;2006-07-25;1;1067913;1067954;2
1000472;2006-07-25;1;1067914;1067955;2
1000473;2006-07-25;1;1067915;1067956;2
1000474;2006-07-25;1;1067916;1067957;2
1000475;2006-07-25;1;1067918;1067958;2
1000476;2006-07-25;1;1067919;1067959;2
1000477;2006-07-25;1;1067919;1067960;2
1000478;2006-07-25;1;1067920;1067960;2
1000479;2006-07-25;1;1067921;1067961;2
1000480;2006-07-25;1;1067922;1067962;2
1000481;2006-07-25;1;1067923;1067963;2
1000482;2006-07-25;1;1067924;1067964;2
1000483;2006-07-25;1;1067924;1067966;2
1000484;2006-07-25;1;1067928;1067970;2
1000485;2006-07-25;1;1067929;1067975;2
1000486;2006-07-25;1;1067867;1067980;2
1000487;2006-07-25;1;1067996;1067903;1
1000488;2006-07-25;1;1067987;1067998;2
1000489;2006-07-25;1;1067988;1068000;2
1000490;2006-07-25;1;1067989;1068003;2
1000491;2006-07-25;1;1067990;1068005;2
1000492;2006-07-25;1;1067991;1068007;2
1000493;2006-07-25;1;1067992;1068008;2
1000494;2006-07-25;1;1067993;1068012;2
1000495;2006-07-25;1;1067868;1067997;2
1000496;2006-07-25;1;1067994;1068013;2
1000497;2006-07-25;1;1067869;1068001;2
1000498;2006-07-25;1;1067870;1068002;2
1000499;2006-07-25;1;1067995;1068014;2
1000500;2006-07-25;1;1067871;1068004;2
1000501;2006-07-25;1;1067872;1068006;2
1000502;2006-07-25;1;1067873;1068009;2
1000503;2006-07-25;1;1067874;1068010;2
1000504;2006-07-25;1;1067875;1068011;2
1000505;2006-07-25;1;1068016;1068027;2
1000506;2006-07-25;1;1068017;1068028;2
1000507;2006-07-25;1;1068018;1068029;2
1000508;2006-07-25;1;1068019;1068030;2
1000509;2006-07-25;1;1068020;1068031;2
1000510;2006-07-25;1;1068021;1068032;2
1000511;2006-07-25;1;1068022;1068033;2
1000512;2006-07-25;1;1068023;1068034;2
1000513;2006-07-25;1;1068024;1068035;2
1000514;2006-07-25;1;1068025;1068037;2
1000515;2006-07-25;1;1068038;1068043;2
1000516;2006-07-25;1;1068039;1068044;2
1000517;2006-07-25;1;1068040;1068045;2
1000520;2006-07-26;1;1068064;1068073;0
1000521;2006-07-26;1;1068064;1068074;0
1000522;2006-07-26;1;1068064;1068075;0
1000523;2006-07-26;1;1068064;1068076;0
1000524;2006-07-26;1;1068064;1068077;0
1000525;2006-07-26;1;1068064;1068078;0
1000526;2006-07-26;1;1068064;1068079;0
1000527;2006-07-26;1;1068064;1068080;0
1000528;2006-07-26;1;1068064;1068081;0
1000529;2006-07-26;1;1068064;1068082;0
1000533;2006-07-26;1;1068051;1068072;2
1000536;2006-07-26;1;1068047;1054397;2
1000537;2006-07-26;1;1068048;1068069;2
1000539;2006-07-26;1;1068050;1068071;2
1000541;2006-07-26;1;1068095;1068101;0
1000542;2006-07-26;1;1068095;1068102;0
1000543;2006-07-26;1;1068095;1068103;0
1000544;2006-07-26;1;1068095;1068104;0
1000545;2006-07-26;1;1068095;1068105;0
1000546;2006-07-26;1;1068095;1068106;0
1000547;2006-07-26;1;1068095;1068107;0
1000548;2006-07-26;1;1068095;1068108;0
1000549;2006-07-26;1;1068095;1068109;0
1000550;2006-07-26;1;1068095;1068110;0
1000551;2006-07-26;1;1068095;1068111;0
1000552;2006-07-26;1;1068095;1068112;0
1000553;2006-07-26;1;1068095;1068113;0
1000554;2006-07-26;1;1068095;1068114;0
1000555;2006-07-26;1;1068095;1068115;0
1000556;2006-07-26;1;1068095;1068116;0
1000557;2006-07-26;1;1068126;1068135;2
1000566;2006-07-26;1;1068148;1068159;0
1000567;2006-07-26;1;1068148;1068160;0
1000568;2006-07-26;1;1068148;1068161;0
1000569;2006-07-26;1;1068148;1068162;0
1000570;2006-07-26;1;1068148;1068163;0
