RecID;MStamp;MStation;IDDocument;IDTrefwoord
1000211;2006-06-24;1;1000238;1000051
1000212;2006-06-24;1;1000238;1000140
1000213;2006-06-24;1;1000238;1000118
1000214;2006-06-24;1;1000238;1000119
1000215;2006-06-24;1;1000238;1000141
1000216;2006-06-24;1;1000238;1000142
1000217;2006-06-24;1;1000238;1000143
1000218;2006-06-24;1;1000238;1000144
1000219;2006-06-24;1;1000238;1000145
1000220;2006-06-24;1;1000238;1000146
1000221;2006-06-24;1;1000238;1000147
1000222;2006-06-24;1;1000238;1000148
1000223;2006-06-24;1;1000238;1000077
1000224;2006-06-24;1;1000238;1000149
1000225;2006-06-24;1;1000238;1000129
1000226;2006-06-24;1;1000238;1000150
1000227;2006-06-24;1;1000238;1000151
1000228;2006-06-24;1;1000238;1000152
1000229;2006-06-24;1;1000238;1000153
1000230;2006-06-24;1;1000238;1000154
1000231;2006-06-24;1;1000238;1000155
1000232;2006-06-24;1;1000238;1000156
1000233;2006-06-24;1;1000238;1000157
1000234;2006-06-24;1;1000240;1000072
1000235;2006-06-24;1;1000251;1000158
1000236;2006-06-24;1;1000251;1000159
1000237;2006-06-24;1;1000252;1000041
1000238;2006-06-24;1;1000252;1000042
1000239;2006-06-24;1;1000252;1000043
1000240;2006-06-24;1;1000252;1000044
1000241;2006-06-24;1;1000252;1000045
1000242;2006-06-24;1;1000252;1000046
1000243;2006-06-24;1;1000252;1000047
1000244;2006-06-24;1;1000252;1000048
1000245;2006-06-24;1;1000252;1000160
1000246;2006-06-24;1;1000252;1000161
1000247;2006-06-24;1;1000252;1000162
1000248;2006-06-24;1;1000256;1000160
1000249;2006-06-24;1;1000256;1000161
1000250;2006-06-24;1;1000256;1000162
1000251;2006-06-24;1;1000256;1000041
1000252;2006-06-24;1;1000256;1000042
1000253;2006-06-24;1;1000256;1000043
1000254;2006-06-24;1;1000256;1000044
1000255;2006-06-24;1;1000256;1000045
1000256;2006-06-24;1;1000256;1000046
1000257;2006-06-24;1;1000256;1000047
1000258;2006-06-24;1;1000256;1000048
1000259;2006-06-24;1;1000256;1000163
1000260;2006-06-24;1;1000258;1000041
1000261;2006-06-24;1;1000258;1000042
1000262;2006-06-24;1;1000258;1000043
1000263;2006-06-24;1;1000258;1000044
1000264;2006-06-24;1;1000258;1000045
1000265;2006-06-24;1;1000258;1000046
1000266;2006-06-24;1;1000258;1000047
1000267;2006-06-24;1;1000258;1000048
1000268;2006-06-24;1;1000260;1000160
1000269;2006-06-24;1;1000260;1000161
1000270;2006-06-24;1;1000260;1000162
1000271;2006-06-24;1;1000260;1000041
1000272;2006-06-24;1;1000260;1000042
1000273;2006-06-24;1;1000260;1000043
1000274;2006-06-24;1;1000260;1000044
1000275;2006-06-24;1;1000260;1000045
1000276;2006-06-24;1;1000260;1000046
1000277;2006-06-24;1;1000260;1000047
1000278;2006-06-24;1;1000260;1000048
1000279;2006-06-24;1;1000260;1000164
1000280;2006-06-24;1;1000262;1000160
1000281;2006-06-24;1;1000262;1000161
1000282;2006-06-24;1;1000262;1000162
1000283;2006-06-24;1;1000262;1000041
1000284;2006-06-24;1;1000262;1000042
1000285;2006-06-24;1;1000262;1000043
1000286;2006-06-24;1;1000262;1000044
1000287;2006-06-24;1;1000262;1000045
1000288;2006-06-24;1;1000262;1000046
1000289;2006-06-24;1;1000262;1000047
1000290;2006-06-24;1;1000262;1000048
1000291;2006-06-24;1;1000262;1000165
1000292;2006-06-24;1;1000264;1000160
1000293;2006-06-24;1;1000264;1000161
1000294;2006-06-24;1;1000264;1000162
1000295;2006-06-24;1;1000264;1000041
1000296;2006-06-24;1;1000264;1000042
1000297;2006-06-24;1;1000264;1000043
1000298;2006-06-24;1;1000264;1000044
1000299;2006-06-24;1;1000264;1000045
1000300;2006-06-24;1;1000264;1000046
1000301;2006-06-24;1;1000264;1000047
1000302;2006-06-24;1;1000264;1000048
1000303;2006-06-24;1;1000264;1000165
1000304;2006-06-24;1;1000266;1000160
1000305;2006-06-24;1;1000266;1000161
1000306;2006-06-24;1;1000266;1000162
1000307;2006-06-24;1;1000266;1000041
1000308;2006-06-24;1;1000266;1000042
1000309;2006-06-24;1;1000266;1000043
1000310;2006-06-24;1;1000266;1000044
1000311;2006-06-24;1;1000266;1000045
1000312;2006-06-24;1;1000266;1000046
1000313;2006-06-24;1;1000266;1000047
1000314;2006-06-24;1;1000266;1000048
1000315;2006-06-24;1;1000266;1000131
1000316;2006-06-24;1;1000270;1000166
1000317;2006-06-24;1;1000270;1000167
1000318;2006-06-24;1;1000270;1000168
1000319;2006-06-24;1;1000275;1000169
1000320;2006-06-24;1;1000275;1000025
1000321;2006-06-24;1;1000275;1000026
1000322;2006-06-24;1;1000279;1000170
1000323;2006-06-24;1;1000279;1000171
1000324;2006-06-24;1;1000280;1000170
1000325;2006-06-24;1;1000280;1000171
1000326;2006-06-24;1;1000281;1000170
1000327;2006-06-24;1;1000281;1000171
1000328;2006-06-24;1;1000282;1000170
1000329;2006-06-24;1;1000282;1000171
1000330;2006-06-24;1;1000283;1000170
1000331;2006-06-24;1;1000283;1000171
1000332;2006-06-24;1;1000284;1000170
1000333;2006-06-24;1;1000284;1000171
1000334;2006-06-24;1;1000294;1000041
1000335;2006-06-24;1;1000294;1000042
1000336;2006-06-24;1;1000294;1000043
1000337;2006-06-24;1;1000294;1000044
1000338;2006-06-24;1;1000294;1000045
1000339;2006-06-24;1;1000294;1000046
1000340;2006-06-24;1;1000294;1000047
1000341;2006-06-24;1;1000294;1000048
1000342;2006-06-24;1;1000295;1000041
1000343;2006-06-24;1;1000295;1000042
1000344;2006-06-24;1;1000295;1000043
1000345;2006-06-24;1;1000295;1000044
1000346;2006-06-24;1;1000295;1000045
1000347;2006-06-24;1;1000295;1000046
1000348;2006-06-24;1;1000295;1000047
1000349;2006-06-24;1;1000295;1000048
1000350;2006-06-24;1;1000298;1000050
