RecID;MStamp;MStation;IDDocument;IDDeelCD
1000148;2006-06-24;1;1000148;1000001
1000149;2006-06-24;1;1000149;1000001
1000150;2006-06-24;1;1000150;1000001
1000151;2006-06-24;1;1000151;1000001
1000152;2006-06-24;1;1000152;1000001
1000153;2006-06-24;1;1000153;1000001
1000154;2006-06-24;1;1000154;1000001
1000155;2006-06-24;1;1000155;1000001
1000156;2006-06-24;1;1000156;1000001
1000157;2006-06-24;1;1000157;1000001
1000158;2006-06-24;1;1000158;1000001
1000159;2006-06-24;1;1000159;1000001
1000160;2006-06-24;1;1000160;1000001
1000161;2006-06-24;1;1000161;1000001
1000162;2006-06-24;1;1000162;1000001
1000163;2006-06-24;1;1000163;1000001
1000164;2006-06-24;1;1000164;1000001
1000165;2006-06-24;1;1000165;1000001
1000166;2006-06-24;1;1000166;1000001
1000167;2006-06-24;1;1000167;1000001
1000168;2006-06-24;1;1000168;1000001
1000169;2006-06-24;1;1000169;1000001
1000170;2006-06-24;1;1000170;1000001
1000171;2006-06-24;1;1000171;1000001
1000172;2006-06-24;1;1000172;1000001
1000173;2006-06-24;1;1000173;1000001
1000174;2006-06-24;1;1000174;1000001
1000175;2006-06-24;1;1000175;1000001
1000176;2006-06-24;1;1000176;1000001
1000177;2006-06-24;1;1000177;1000001
1000178;2006-06-24;1;1000178;1000001
1000179;2006-06-24;1;1000179;1000001
1000180;2006-06-24;1;1000180;1000001
1000181;2006-06-24;1;1000181;1000001
1000182;2006-06-24;1;1000182;1000001
1000183;2006-06-24;1;1000183;1000001
1000184;2006-06-24;1;1000184;1000001
1000185;2006-06-24;1;1000185;1000001
1000186;2006-06-24;1;1000186;1000001
1000187;2006-06-24;1;1000187;1000001
1000188;2006-06-24;1;1000188;1000001
1000189;2006-06-24;1;1000189;1000001
1000190;2006-06-24;1;1000190;1000001
1000191;2006-06-24;1;1000191;1000001
1000192;2006-06-24;1;1000192;1000001
1000193;2006-06-24;1;1000193;1000001
1000194;2006-06-24;1;1000194;1000001
1000195;2006-06-24;1;1000195;1000001
1000196;2006-06-24;1;1000196;1000001
1000197;2006-06-24;1;1000197;1000001
1000198;2006-06-24;1;1000198;1000001
1000199;2006-06-24;1;1000199;1000001
1000200;2006-06-24;1;1000200;1000001
1000201;2006-06-24;1;1000201;1000001
1000202;2006-06-24;1;1000202;1000001
1000203;2006-06-24;1;1000203;1000001
1000204;2006-06-24;1;1000204;1000001
1000205;2006-06-24;1;1000205;1000001
1000206;2006-06-24;1;1000206;1000001
1000207;2006-06-24;1;1000207;1000001
1000208;2006-06-24;1;1000208;1000001
1000209;2006-06-24;1;1000209;1000001
1000210;2006-06-24;1;1000210;1000001
1000211;2006-06-24;1;1000211;1000001
1000212;2006-06-24;1;1000212;1000001
1000213;2006-06-24;1;1000213;1000001
1000214;2006-06-24;1;1000214;1000001
1000215;2006-06-24;1;1000215;1000001
1000216;2006-06-24;1;1000216;1000001
1000217;2006-06-24;1;1000217;1000001
1000218;2006-06-24;1;1000218;1000001
1000219;2006-06-24;1;1000219;1000001
1000220;2006-06-24;1;1000220;1000001
1000221;2006-06-24;1;1000221;1000001
1000222;2006-06-24;1;1000222;1000001
1000223;2006-06-24;1;1000223;1000001
1000224;2006-06-24;1;1000224;1000001
1000225;2006-06-24;1;1000225;1000001
1000226;2006-06-24;1;1000226;1000001
1000227;2006-06-24;1;1000227;1000001
1000228;2006-06-24;1;1000228;1000001
1000229;2006-06-24;1;1000229;1000001
1000230;2006-06-24;1;1000230;1000001
1000231;2006-06-24;1;1000231;1000001
1000232;2006-06-24;1;1000232;1000001
1000233;2006-06-24;1;1000233;1000001
1000234;2006-06-24;1;1000234;1000001
1000235;2006-06-24;1;1000235;1000001
1000236;2006-06-24;1;1000236;1000001
1000237;2006-06-24;1;1000237;1000001
